mse,r2,sign_agree,topk_overlap,kendall_tau,seed,teacher,n_teacher,surrogate_train_s,surrogate_lat_s
0.005169736728180773,0.21920807551596344,0.4555,0.7800000000000001,0.6121148368588384,5,SHAP,50,0.6001092589999644,5.01396000117893e-06
0.0737594324708202,-5.077443755410719,0.7465,0.8366666666666667,0.5276842105263158,5,LIME,50,0.8044161949999307,4.838689999360213e-06
0.0013019225085911304,0.8033689848322954,0.4615,0.8133333333333336,0.6485043409398166,5,SHAP,100,1.0622572380000292,4.385530000945437e-06
0.0024132176634682058,0.8011617751384712,0.7495,0.8466666666666667,0.5461052631578948,5,LIME,100,1.0208295619997898,4.3174999996153926e-06
0.001150729011635284,0.8262039313033835,0.4755,0.8133333333333335,0.665012162327545,5,SHAP,200,1.4858068559999538,5.257150000943511e-06
0.0024318132709529915,0.7996295811559431,0.7455,0.84,0.5676842105263159,5,LIME,200,1.347120638999968,5.4242000010162884e-06
0.0008377264623750725,0.8734771050944385,0.4785,0.8433333333333334,0.6622407762551528,5,SHAP,300,2.0929272840000976,4.7868100000414414e-06
0.0016740546966793769,0.862065461707898,0.7495,0.8700000000000001,0.5838947368421052,5,LIME,300,2.0907614389998344,4.350290000729729e-06
0.001124442253561251,0.8242425232841399,0.476,0.79,0.6744107759643537,6,SHAP,50,0.8035021089999645,4.963359999692329e-06
0.004437292891899361,0.6221274828756551,0.7465,0.7333333333333336,0.5262105263157895,6,LIME,50,0.796836667999969,5.473259998325375e-06
0.0006151715702618629,0.9038447705125581,0.485,0.8300000000000002,0.7018836465950262,6,SHAP,100,1.0340427910000471,5.650250000144297e-06
0.002908303168464223,0.7523337166147994,0.76,0.7666666666666667,0.5367368421052631,6,LIME,100,1.0795449760000793,4.9684500004332225e-06
0.0005888653215007663,0.9079566045257915,0.488,0.8233333333333333,0.6992327555692596,6,SHAP,200,1.1929421669999556,4.951579999215028e-06
0.0023417428071480723,0.8005810590934188,0.7655,0.7566666666666668,0.5466315789473685,6,LIME,200,1.449018821999971,5.268180000257417e-06
0.0005589287473501362,0.9126358814896088,0.485,0.8400000000000002,0.7035705772477868,6,SHAP,300,1.7520353539998723,4.739790001622168e-06
0.0022367590775460005,0.8095212997149605,0.7605,0.7633333333333334,0.5634736842105263,6,LIME,300,1.8915608249999423,4.898929998944368e-06
0.0011853038622514744,0.7538787915790025,0.4775,0.7666666666666667,0.6599513703692633,7,SHAP,50,0.7579043559999263,4.766699998981494e-06
0.0053048964761765365,0.5689172473476201,0.7015,0.7400000000000001,0.49136842105263157,7,LIME,50,0.7699163080001199,4.788579999512876e-06
0.0008550166726509196,0.8224609373218272,0.488,0.82,0.6863397855803036,7,SHAP,100,0.8503337619999911,4.831890000787098e-06
0.002730758926576425,0.778094995786408,0.7305,0.7466666666666667,0.49031578947368426,7,LIME,100,1.0172620329999518,5.460419999963051e-06
0.000707696101014202,0.8530511667737316,0.4895,0.85,0.697063844729996,7,SHAP,200,1.198443824999913,5.1786099993478275e-06
0.002558202619077702,0.7921171446366515,0.726,0.7666666666666667,0.5206315789473684,7,LIME,200,0.8582514750000882,4.2980699981853835e-06
0.0007429593866116757,0.8457289578950233,0.491,0.8366666666666669,0.6928465180980946,7,SHAP,300,1.5139643259999502,4.268699999556702e-06
0.0026382998235109376,0.7856083421516451,0.734,0.7600000000000001,0.5226315789473683,7,LIME,300,1.4529908120000528,5.3838500002711955e-06
0.0010590516376175764,0.8454120310834,0.4835,0.8133333333333335,0.6641686970011649,8,SHAP,50,0.6894873290000305,5.472729999382863e-06
0.003659107297834307,0.6943393169854373,0.7315,0.7333333333333336,0.3971578947368421,8,LIME,50,0.4882664100000511,6.767949998902622e-06
0.0010958000583622795,0.8400479265184934,0.4885,0.89,0.6710369146588329,8,SHAP,100,0.7700949580000724,4.29653000082908e-06
0.00357607239049863,0.7012755734065856,0.7325,0.7600000000000001,0.4273684210526316,8,LIME,100,0.7137944039998274,4.8518500011596186e-06
0.0008861871436760166,0.8706447676819069,0.4955,0.88,0.6770616669901206,8,SHAP,200,0.9167627659999198,4.954789999374043e-06
0.002589208669915175,0.7837124669774204,0.735,0.7666666666666668,0.4424210526315789,8,LIME,200,0.6864942669999436,4.854269998304517e-06
0.0008677771734340317,0.8733320397717983,0.4955,0.8833333333333333,0.6736878056845995,8,SHAP,300,1.3861184840000078,5.034690000229602e-06
0.0022795810301856545,0.8095769711136962,0.742,0.7666666666666668,0.45515789473684215,8,LIME,300,1.4857879670000784,5.4067900009613364e-06
0.00139373134250732,0.7892128379650413,0.477,0.79,0.6530831527115951,9,SHAP,50,0.8012946390001616,5.087069998808147e-06
0.006425735275917521,0.5000954855433644,0.751,0.7400000000000003,0.5127368421052632,9,LIME,50,0.8367551549999916,5.1782600007754805e-06
0.0011373657873346103,0.8279854235920221,0.4805,0.8066666666666665,0.6732058254980964,9,SHAP,100,0.9939511190000303,4.960390001542692e-06
0.003544328786147781,0.7242609779530815,0.761,0.7633333333333334,0.5213684210526316,9,LIME,100,1.0887518909999017,4.969390001861029e-06
0.0007769302611062771,0.8824974944288364,0.4865,0.83,0.68730374595331,9,SHAP,200,1.0262223370000356,4.960090000167838e-06
0.0027299872497373646,0.7876145076085639,0.788,0.7900000000000001,0.5374736842105263,9,LIME,200,1.3535885530000087,5.055750000337866e-06
0.0006285895930629046,0.9049324555132164,0.491,0.85,0.7020041416416519,9,SHAP,300,1.905365176000032,5.4694699997526184e-06
0.0017726624691327593,0.862091740030361,0.7805,0.8033333333333335,0.5495789473684211,9,LIME,300,1.8788570909998725,4.918289998840919e-06
